Data,Atividade,Quantidade Processada,Acao,Quantidade em Estoque
2023-09-19 20:33:13,QUALITY,100,Passed,1650
2023-09-19 20:33:18,QUALITY,100,Passed,1550
2023-09-19 20:33:23,QUALITY,100,Passed,1650
2023-09-19 20:33:28,QUALITY,100,Passed,1550
2023-09-19 20:33:33,QUALITY,100,Passed,1650
2023-09-19 20:33:38,QUALITY,100,Passed,1750
2023-09-19 20:33:43,QUALITY,100,Returned,1650
2023-09-19 20:33:53,QUALITY,100,Passed,1850
2023-09-19 20:33:58,QUALITY,100,Passed,1750
2023-09-19 20:34:03,QUALITY,100,Passed,1850
2023-09-19 20:34:08,QUALITY,100,Passed,1750
2023-09-19 20:34:13,QUALITY,100,Passed,1850
2023-09-19 20:34:18,QUALITY,100,Passed,1950
2023-09-19 20:34:23,QUALITY,100,Passed,1850
2023-09-19 20:34:28,QUALITY,100,Passed,1950
2023-09-19 20:34:33,QUALITY,100,Passed,2050
2023-09-19 20:34:38,QUALITY,100,Passed,1950
2023-09-19 20:34:43,QUALITY,100,Passed,2050
2023-09-19 20:34:48,QUALITY,100,Passed,1950
2023-09-19 20:34:53,QUALITY,100,Passed,2050
2023-09-19 20:34:58,QUALITY,100,Passed,2150
2023-09-19 20:35:03,QUALITY,100,Passed,2050
2023-09-19 20:35:08,QUALITY,100,Passed,2150
2023-09-19 20:35:13,QUALITY,100,Passed,2250
2023-09-19 21:08:27,QUALITY,100,Passed,300
2023-09-19 21:08:32,QUALITY,100,Passed,400
2023-09-19 21:08:37,QUALITY,100,Passed,300
2023-09-19 21:08:42,QUALITY,100,Returned,400
2023-09-19 21:08:47,QUALITY,100,Passed,500
2023-09-19 21:08:52,QUALITY,100,Passed,400
2023-09-19 21:08:57,QUALITY,100,Passed,500
2023-09-19 21:09:02,QUALITY,100,Passed,600
2023-09-19 21:09:07,QUALITY,100,Passed,500
2023-09-19 21:09:12,QUALITY,100,Passed,600
2023-09-19 21:09:17,QUALITY,100,Passed,500
2023-09-19 21:09:22,QUALITY,100,Passed,600
2023-09-19 21:09:27,QUALITY,100,Passed,650
2023-09-19 21:11:16,QUALITY,100,Passed,300
2023-09-19 21:11:21,QUALITY,100,Passed,400
2023-09-19 21:11:26,QUALITY,100,Passed,300
2023-09-19 21:11:31,QUALITY,100,Passed,400
2023-09-19 21:11:36,QUALITY,100,Passed,500
2023-09-19 21:11:41,QUALITY,100,Passed,400
2023-09-19 21:11:46,QUALITY,100,Passed,500
2023-09-19 21:11:51,QUALITY,100,Returned,600
2023-09-19 21:11:56,QUALITY,100,Passed,500
2023-09-19 21:12:01,QUALITY,100,Passed,600
2023-09-19 21:12:06,QUALITY,100,Passed,500
2023-09-19 21:12:11,QUALITY,100,Passed,600
2023-09-19 21:12:16,QUALITY,100,Passed,700
